Lat Vpeak Err Block Subj Trial
1 434.000 0.535 0.743 1 1 11
2 427.000 0.534 0.139 1 1 12
3 463.000 0.520 0.639 1 1 13
4 434.000 0.349 1.750 1 1 14
5 378.000 0.420 1.408 1 1 15
6 356.000 0.527 1.179 1 1 16
7 503.000 0.473 1.639 1 1 17
8 426.000 0.537 1.257 1 1 18
9 403.000 0.574 0.404 1 1 19
10 342.000 0.593 1.190 1 1 20
11 441.000 0.503 0.923 1 1 21
12 434.000 0.507 1.114 1 1 22
13 379.000 0.462 1.401 1 1 23
14 395.000 0.463 0.688 1 1 24
15 487.000 0.465 0.400 1 1 25
16 395.000 0.618 1.163 1 1 26
17 403.000 0.577 1.853 1 1 27
18 410.000 0.520 0.116 1 1 28
19 426.000 0.514 2.455 1 1 29
20 341.000 0.458 2.098 1 1 30
21 364.000 0.491 1.370 1 1 31
22 441.000 0.600 1.004 1 1 32
23 518.000 0.388 2.147 1 1 33
24 409.000 0.528 0.334 1 1 34
25 418.000 0.482 0.314 1 1 35
26 387.000 0.538 0.410 1 1 36
27 450.000 0.498 0.600 1 1 37
28 441.000 0.432 1.551 1 1 38
29 395.000 0.532 1.068 1 1 39
30 425.000 0.510 0.754 1 1 40
31 364.000 0.433 1.131 1 1 41
32 402.000 0.406 1.217 1 1 42
33 364.000 0.554 0.345 1 1 43
34 365.000 0.687 1.471 1 1 44
35 403.000 0.401 0.635 1 1 45
36 326.000 0.410 0.969 1 1 46
37 394.000 0.441 0.436 1 1 47
38 334.000 0.526 1.694 1 1 48
39 357.000 0.501 0.294 1 1 49
40 412.000 0.449 0.076 1 1 50
41 411.000 0.347 1.036 1 1 51
42 373.000 0.515 1.941 1 1 52
43 388.000 0.602 1.672 1 1 53
44 371.000 0.650 1.038 1 1 54
45 402.000 0.446 0.460 1 1 55
46 388.000 0.490 0.329 1 1 56
47 433.000 0.500 1.714 1 1 57
48 426.000 0.510 0.901 1 1 58
49 426.000 0.554 0.872 1 1 59
50 571.000 0.452 1.056 1 1 60
51 412.000 0.394 0.480 2 1 71
52 342.000 0.540 1.140 2 1 72
53 426.000 0.586 1.497 2 1 73
54 465.000 0.479 1.290 2 1 74
55 518.000 0.432 0.688 2 1 75
56 457.000 0.443 1.069 2 1 76
57 449.000 0.582 0.922 2 1 77
58 449.000 0.499 0.822 2 1 78
59 417.000 0.387 0.611 2 1 79
60 441.000 0.343 0.544 2 1 80
61 435.000 0.413 1.164 2 1 81
62 665.000 0.493 0.912 2 1 82
63 364.000 0.677 1.437 2 1 83
64 333.000 0.483 1.076 2 1 84
65 458.000 0.685 0.838 2 1 85
66 495.000 0.615 1.422 2 1 86
67 441.000 0.547 0.161 2 1 87
68 472.000 0.538 2.241 2 1 88
69 388.000 0.577 2.841 2 1 89
70 488.000 0.579 1.820 2 1 90
71 372.000 0.640 0.869 2 1 91
72 387.000 0.700 1.480 2 1 92
73 449.000 0.630 0.828 2 1 93
74 488.000 0.628 1.980 2 1 94
75 371.000 0.548 0.729 2 1 95
76 380.000 0.553 1.652 2 1 96
77 341.000 0.579 2.702 2 1 97
78 357.000 0.685 2.784 2 1 98
79 340.000 0.575 1.631 2 1 99
80 318.000 0.679 0.780 2 1 100
81 396.000 0.718 0.683 2 1 101
82 333.000 0.676 1.910 2 1 102
83 363.000 0.541 1.510 2 1 103
84 348.000 0.613 2.891 2 1 104
85 387.000 0.567 1.360 2 1 105
86 495.000 0.484 0.381 2 1 106
87 401.000 0.660 0.985 2 1 107
88 342.000 0.444 0.886 2 1 108
89 371.000 0.476 1.823 2 1 109
90 364.000 0.575 1.002 2 1 110
91 525.000 0.549 1.937 2 1 111
92 442.000 0.613 1.098 2 1 112
93 395.000 0.715 0.629 2 1 113
94 403.000 0.585 1.789 2 1 114
95 434.000 0.498 0.726 2 1 115
96 341.000 0.486 1.099 2 1 116
97 510.000 0.536 1.941 2 1 117
98 472.000 0.537 0.196 2 1 118
99 480.000 0.461 1.294 2 1 119
100 442.000 0.570 0.925 2 1 120
101 211.000 0.714 1.569 1 2 11
102 188.000 0.676 1.185 1 2 12
103 233.000 0.710 1.177 1 2 13
104 249.000 0.680 0.922 1 2 14
105 202.000 0.682 0.582 1 2 15
106 217.000 0.710 1.710 1 2 16
107 225.000 0.616 2.110 1 2 17
108 218.000 0.648 0.724 1 2 18
109 226.000 0.634 2.111 1 2 19
110 318.000 0.534 2.017 1 2 20
111 218.000 0.659 1.415 1 2 21
112 242.000 0.624 0.971 1 2 22
113 226.000 0.596 1.351 1 2 23
114 218.000 0.602 0.440 1 2 24
115 225.000 0.598 0.569 1 2 25
116 225.000 0.621 0.854 1 2 26
117 211.000 0.629 1.228 1 2 27
118 248.000 0.602 1.784 1 2 28
119 210.000 0.550 1.993 1 2 29
120 249.000 0.577 1.133 1 2 30
121 248.000 0.627 0.318 1 2 31
122 210.000 0.576 1.161 1 2 32
123 233.000 0.709 2.691 1 2 33
124 233.000 0.580 3.137 1 2 34
125 264.000 0.611 1.338 1 2 35
126 202.000 0.693 0.846 1 2 36
127 271.000 0.665 1.519 1 2 37
