Lat Vpeak Err Block Subj Trial
1 318.000 0.708 0.753 1 1 11
2 279.000 0.706 0.784 1 1 12
3 272.000 0.818 2.009 1 1 13
4 264.000 0.576 1.222 1 1 14
5 334.000 0.704 0.152 1 1 15
6 295.000 0.625 2.481 1 1 16
7 311.000 0.694 1.948 1 1 17
8 310.000 0.703 1.734 1 1 18
9 295.000 0.717 0.477 1 1 19
10 287.000 0.675 0.620 1 1 20
11 279.000 0.669 0.251 1 1 21
12 303.000 0.673 0.258 1 1 22
13 311.000 0.644 2.284 1 1 23
14 264.000 0.607 0.813 1 1 24
15 326.000 0.896 2.022 1 1 25
16 250.000 0.738 0.545 1 1 26
17 318.000 0.849 3.476 1 1 27
18 310.000 0.679 1.942 1 1 28
19 311.000 0.704 0.359 1 1 29
20 264.000 0.723 0.466 1 1 30
21 342.000 0.739 1.100 1 1 31
22 303.000 0.719 1.985 1 1 32
23 311.000 0.718 2.038 1 1 33
24 304.000 0.698 0.512 1 1 34
25 310.000 0.670 0.754 1 1 35
26 357.000 0.675 2.629 1 1 36
27 318.000 0.677 0.738 1 1 37
28 341.000 0.799 0.529 1 1 38
29 335.000 0.576 0.525 1 1 39
30 304.000 0.664 0.524 1 1 40
31 272.000 0.651 1.922 1 1 41
32 326.000 0.541 0.222 1 1 42
33 372.000 0.818 1.104 1 1 43
34 395.000 0.718 3.931 1 1 44
35 295.000 0.725 1.930 1 1 45
36 318.000 0.653 0.914 1 1 46
37 325.000 0.673 0.208 1 1 47
38 302.000 0.737 1.153 1 1 48
39 295.000 0.761 0.854 1 1 49
40 342.000 0.815 1.523 1 1 50
41 318.000 0.635 0.898 1 1 51
42 311.000 0.629 1.801 1 1 52
43 302.000 0.703 1.381 1 1 53
44 318.000 0.744 1.941 1 1 54
45 295.000 0.821 1.937 1 1 55
46 302.000 0.702 1.420 1 1 56
47 295.000 0.648 0.200 1 1 57
48 317.000 0.660 0.778 1 1 58
49 271.000 0.718 0.447 1 1 59
50 287.000 0.598 0.334 1 1 60
51 303.000 0.541 0.921 2 1 71
52 226.000 0.686 0.956 2 1 72
53 257.000 0.660 1.385 2 1 73
54 302.000 0.601 1.083 2 1 74
55 302.000 0.749 1.178 2 1 75
56 265.000 0.609 2.104 2 1 76
57 256.000 0.619 1.410 2 1 77
58 333.000 0.621 2.286 2 1 78
59 303.000 0.504 1.002 2 1 79
60 257.000 0.530 2.092 2 1 80
61 295.000 0.538 0.414 2 1 81
62 249.000 0.576 1.704 2 1 82
63 234.000 0.678 0.481 2 1 83
64 241.000 0.563 1.743 2 1 84
65 303.000 0.618 0.841 2 1 85
66 295.000 0.634 1.173 2 1 86
67 273.000 0.626 0.674 2 1 87
68 233.000 0.604 1.168 2 1 88
69 271.000 0.736 1.675 2 1 89
70 311.000 0.651 1.774 2 1 90
71 218.000 0.582 0.635 2 1 91
72 303.000 0.597 0.207 2 1 92
73 325.000 0.725 2.601 2 1 93
74 272.000 0.711 0.829 2 1 94
75 311.000 0.528 0.591 2 1 95
76 256.000 0.623 0.383 2 1 96
77 234.000 0.618 0.416 2 1 97
78 286.000 0.555 0.367 2 1 98
79 279.000 0.713 0.085 2 1 99
80 303.000 0.521 1.075 2 1 100
81 287.000 0.559 0.137 2 1 101
82 295.000 0.612 0.710 2 1 102
83 241.000 0.603 1.245 2 1 103
84 287.000 0.548 0.824 2 1 104
85 280.000 0.673 2.021 2 1 105
86 271.000 0.613 1.146 2 1 106
