"PDist" "Block" "Cond" "TB" "Subj"
1 0.05644 "1" "0" "1" "S1"
2 0.06905 "1" "0" "1" "S1"
3 0.03213 "1" "0" "1" "S1"
4 0.05145 "1" "0" "1" "S1"
5 0.05687 "1" "0" "1" "S1"
6 0.05464 "1" "0" "1" "S1"
7 0.04663 "1" "0" "2" "S1"
8 0.03249 "1" "0" "2" "S1"
9 0.01828 "1" "0" "3" "S1"
10 0.00444 "1" "0" "3" "S1"
11 0.00735 "1" "0" "7" "S1"
12 0.08108 "1" "0" "7" "S1"
13 0.01673 "1" "0" "8" "S1"
14 0.01870 "1" "0" "8" "S1"
15 0.05081 "1" "0" "8" "S1"
16 0.03929 "1" "0" "8" "S1"
17 0.05979 "1" "0" "9" "S1"
18 0.05171 "1" "0" "9" "S1"
19 0.00733 "1" "0" "9" "S1"
20 0.01488 "1" "0" "9" "S1"
21 0.01778 "1" "0" "9" "S1"
22 0.07401 "1" "0" "9" "S1"
23 0.02669 "1" "0" "10" "S1"
24 0.04143 "1" "0" "10" "S1"
25 0.02138 "1" "0" "10" "S1"
26 0.00937 "1" "0" "10" "S1"
27 0.02177 "1" "0" "11" "S1"
28 0.04311 "1" "0" "11" "S1"
29 0.05120 "1" "0" "15" "S1"
30 0.05835 "1" "0" "15" "S1"
31 0.01238 "1" "0" "16" "S1"
32 0.03189 "1" "0" "16" "S1"
33 0.08404 "1" "0" "17" "S1"
34 0.00790 "1" "0" "17" "S1"
35 0.05102 "1" "0" "17" "S1"
36 0.05906 "1" "0" "17" "S1"
37 0.13607 "1" "0" "17" "S1"
38 0.03095 "1" "0" "17" "S1"
39 0.05072 "1" "0" "18" "S1"
40 0.02243 "1" "0" "18" "S1"
41 0.48776 "1" "0" "19" "S1"
42 0.01405 "1" "0" "19" "S1"
43 0.07140 "1" "0" "23" "S1"
44 0.01730 "1" "0" "23" "S1"
45 0.05745 "1" "0" "24" "S1"
46 0.01698 "1" "0" "24" "S1"
47 0.08385 "1" "0" "24" "S1"
48 0.00864 "1" "0" "24" "S1"
49 0.01306 "1" "0" "25" "S1"
50 0.03322 "1" "0" "25" "S1"
51 0.03446 "1" "0" "25" "S1"
52 0.06168 "1" "0" "25" "S1"
53 0.02773 "1" "0" "25" "S1"
54 0.02564 "1" "0" "25" "S1"
55 0.03163 "1" "0" "26" "S1"
56 0.09340 "1" "0" "26" "S1"
57 0.01381 "1" "0" "26" "S1"
58 0.04064 "1" "0" "26" "S1"
59 0.05213 "1" "0" "27" "S1"
60 0.01820 "1" "0" "27" "S1"
61 0.08585 "1" "0" "31" "S1"
62 0.03157 "1" "0" "31" "S1"
63 0.06268 "1" "0" "32" "S1"
64 0.04964 "1" "0" "32" "S1"
65 0.01403 "1" "0" "33" "S1"
66 0.00358 "1" "0" "33" "S1"
67 0.03708 "1" "0" "33" "S1"
68 0.00232 "1" "0" "33" "S1"
69 0.07128 "1" "0" "33" "S1"
70 0.01313 "1" "0" "33" "S1"
71 0.03957 "1" "0" "34" "S1"
72 0.04090 "1" "0" "34" "S1"
73 0.18426 "1" "0" "35" "S1"
74 0.14265 "1" "0" "35" "S1"
75 0.10773 "1" "0" "39" "S1"
76 0.09881 "1" "0" "39" "S1"
77 0.04792 "1" "0" "40" "S1"
78 0.04592 "1" "0" "40" "S1"
79 0.04627 "1" "0" "40" "S1"
80 0.08253 "1" "0" "40" "S1"
81 0.05028 "1" "0" "41" "S1"
82 0.01871 "1" "0" "41" "S1"
83 0.03745 "1" "0" "41" "S1"
84 0.02412 "1" "0" "41" "S1"
85 0.04928 "1" "0" "41" "S1"
86 0.05723 "1" "0" "42" "S1"
87 0.00772 "1" "0" "42" "S1"
88 0.02192 "1" "0" "42" "S1"
89 0.03300 "1" "0" "42" "S1"
90 0.05137 "1" "0" "43" "S1"
91 0.05002 "1" "0" "43" "S1"
92 0.04121 "1" "0" "47" "S1"
93 0.06962 "1" "0" "47" "S1"
94 0.11641 "1" "0" "48" "S1"
95 0.10658 "1" "0" "48" "S1"
96 0.02423 "1" "0" "49" "S1"
97 0.04352 "1" "0" "49" "S1"
98 0.04876 "1" "0" "49" "S1"
99 0.02280 "1" "0" "49" "S1"
100 0.02504 "1" "0" "49" "S1"
101 0.03726 "1" "0" "49" "S1"
102 0.03260 "1" "0" "50" "S1"
103 0.04825 "1" "0" "50" "S1"
104 0.02316 "1" "0" "51" "S1"
105 0.08036 "1" "0" "51" "S1"
106 0.07547 "1" "0" "55" "S1"
107 0.09891 "1" "0" "55" "S1"
108 0.05846 "1" "0" "56" "S1"
