"PDist" "Group" "Cond" "TB" "Subj"
1 0.02269 "1" "1" "1" "S1"
2 0.01232 "1" "1" "1" "S1"
3 0.02539 "1" "1" "1" "S1"
4 0.04182 "1" "1" "1" "S1"
5 0.04627 "1" "1" "1" "S1"
6 0.05594 "1" "1" "1" "S1"
7 0.04281 "1" "1" "2" "S1"
8 0.03883 "1" "1" "2" "S1"
9 0.04809 "1" "1" "3" "S1"
10 0.10509 "1" "1" "3" "S1"
11 0.01280 "1" "1" "7" "S1"
12 0.02585 "1" "1" "7" "S1"
13 0.03904 "1" "1" "8" "S1"
14 0.03197 "1" "1" "8" "S1"
15 0.04207 "1" "1" "8" "S1"
16 0.01777 "1" "1" "8" "S1"
17 0.01301 "1" "1" "9" "S1"
18 0.03205 "1" "1" "9" "S1"
19 0.03246 "1" "1" "9" "S1"
20 0.00845 "1" "1" "9" "S1"
21 0.04682 "1" "1" "9" "S1"
22 0.04748 "1" "1" "9" "S1"
23 0.02344 "1" "1" "10" "S1"
24 0.00652 "1" "1" "10" "S1"
25 0.01928 "1" "1" "10" "S1"
26 0.06503 "1" "1" "11" "S1"
27 0.03416 "1" "1" "11" "S1"
28 0.06986 "1" "1" "15" "S1"
29 0.01102 "1" "1" "15" "S1"
30 0.02394 "1" "1" "16" "S1"
31 0.00641 "1" "1" "16" "S1"
32 0.05428 "1" "1" "17" "S1"
33 0.06701 "1" "1" "17" "S1"
34 0.06663 "1" "1" "17" "S1"
35 0.02886 "1" "1" "17" "S1"
36 0.08507 "1" "1" "17" "S1"
37 0.11314 "1" "1" "17" "S1"
38 0.08889 "1" "1" "18" "S1"
39 0.05006 "1" "1" "18" "S1"
40 0.05090 "1" "1" "19" "S1"
41 0.04585 "1" "1" "19" "S1"
42 0.00441 "1" "1" "23" "S1"
43 0.07712 "1" "1" "23" "S1"
44 0.01286 "1" "1" "24" "S1"
45 0.02018 "1" "1" "24" "S1"
46 0.00990 "1" "1" "24" "S1"
47 0.01084 "1" "1" "24" "S1"
48 0.00212 "1" "1" "25" "S1"
49 0.05420 "1" "1" "25" "S1"
50 0.01379 "1" "1" "25" "S1"
51 0.02970 "1" "1" "25" "S1"
52 0.01911 "1" "1" "25" "S1"
53 0.01483 "1" "1" "25" "S1"
54 0.02781 "1" "1" "26" "S1"
