"Subject" "Condition" "Block" "TB" "TrialNum" "Trial" "Lat"
1 "S1" "T" "1" "61" "1" "1" 633.462
2 "S1" "T" "1" "58" "1" "2" 425.769
3 "S1" "T" "1" "20" "1" "3" 633.462
4 "S1" "T" "1" "2" "1" "4" 495.000
5 "S1" "T" "1" "18" "1" "5" 571.923
6 "S1" "T" "1" "62" "1" "6" 495.000
7 "S1" "T" "1" "53" "1" "7" 533.462
8 "S1" "T" "1" "3" "1" "8" 448.846
9 "S1" "T" "1" "12" "1" "9" 495.000
10 "S1" "T" "1" "63" "1" "10" 456.538
11 "S1" "T" "1" "10" "1" "11" 433.462
12 "S1" "T" "1" "49" "1" "12" 502.692
13 "S1" "T" "1" "0" "1" "13" 418.077
14 "S1" "T" "1" "56" "1" "14" 402.692
15 "S1" "T" "1" "6" "1" "15" 310.385
16 "S1" "T" "1" "2" "2" "16" 295.000
17 "S1" "T" "1" "9" "1" "17" 395.000
18 "S1" "T" "1" "3" "2" "18" 379.615
19 "S1" "T" "1" "17" "1" "19" 318.077
20 "S1" "T" "1" "23" "1" "20" 310.385
21 "S1" "T" "1" "3" "3" "21" 333.462
22 "S1" "T" "1" "14" "1" "22" 371.923
23 "S1" "T" "1" "52" "1" "23" 371.923
24 "S1" "T" "1" "21" "1" "24" 325.769
25 "S1" "T" "1" "7" "1" "25" 333.462
26 "S1" "T" "1" "0" "2" "26" 395.000
27 "S1" "T" "1" "6" "2" "27" 379.615
28 "S1" "T" "1" "50" "1" "28" 325.769
29 "S1" "T" "1" "13" "1" "29" 379.615
30 "S1" "T" "1" "11" "1" "30" 371.923
31 "S1" "T" "1" "4" "1" "31" 333.462
32 "S1" "T" "1" "22" "1" "32" 341.154
33 "S1" "T" "1" "51" "1" "33" 402.692
34 "S1" "T" "1" "15" "1" "34" 402.692
35 "S1" "T" "1" "60" "1" "35" 395.000
36 "S1" "T" "1" "9" "2" "36" 371.923
37 "S1" "T" "1" "0" "3" "37" 418.077
38 "S1" "T" "1" "1" "1" "38" 425.769
39 "S1" "T" "1" "56" "2" "39" 387.308
40 "S1" "T" "1" "62" "2" "40" 348.846
41 "S1" "T" "1" "1" "2" "41" 287.308
42 "S1" "T" "1" "13" "2" "42" 348.846
43 "S1" "T" "1" "8" "1" "43" 364.231
44 "S1" "T" "1" "1" "3" "44" 364.231
45 "S1" "T" "1" "4" "2" "45" 410.385
46 "S1" "T" "1" "6" "3" "46" 425.769
47 "S1" "T" "1" "11" "2" "47" 379.615
48 "S1" "T" "1" "19" "1" "48" 395.000
49 "S1" "T" "1" "5" "1" "49" 418.077
50 "S1" "T" "1" "5" "2" "50" NaN
51 "S1" "T" "1" "60" "2" "51" 433.462
52 "S1" "T" "1" "16" "1" "52" 387.308
53 "S1" "T" "1" "55" "1" "53" 433.462
54 "S1" "T" "1" "7" "2" "54" 371.923
