"Subject" "Group" "Condition" "TB" "TrialNum" "Trial" "Lat"
"1" "1" "1" "1" "14" "1" "1" 302.692
"2" "1" "1" "1" "4" "1" "2" 418.077
"3" "1" "1" "1" "22" "1" "3" 341.154
"4" "1" "1" "1" "0" "1" "4" 348.846
"5" "1" "1" "1" "54" "1" "5" 371.923
"6" "1" "1" "1" "1" "1" "6" 364.231
"7" "1" "1" "1" "58" "1" "7" 333.462
"8" "1" "1" "1" "8" "1" "8" 333.462
"9" "1" "1" "1" "49" "1" "9" 379.615
"10" "1" "1" "1" "5" "1" "10" NA
"11" "1" "1" "1" "5" "2" "11" NA
"12" "1" "1" "1" "2" "1" "12" 379.615
"13" "1" "1" "1" "5" "3" "13" 302.692
"14" "1" "1" "1" "2" "2" "14" 287.308
"15" "1" "1" "1" "62" "1" "15" 395.000
"16" "1" "1" "1" "50" "1" "16" 302.692
"17" "1" "1" "1" "4" "2" "17" 264.231
"18" "1" "1" "1" "19" "1" "18" 364.231
"19" "1" "1" "1" "48" "1" "19" 333.462
"20" "1" "1" "1" "18" "1" "20" 302.692
"21" "1" "1" "1" "15" "1" "21" 418.077
"22" "1" "1" "1" "63" "1" "22" 348.846
"23" "1" "1" "1" "61" "1" "23" 333.462
"24" "1" "1" "1" "62" "2" "24" 341.154
"25" "1" "1" "1" "15" "2" "25" 333.462
"26" "1" "1" "1" "23" "1" "26" 318.077
"27" "1" "1" "1" "16" "1" "27" 310.385
"28" "1" "1" "1" "3" "1" "28" 371.923
"29" "1" "1" "1" "3" "2" "29" 341.154
"30" "1" "1" "1" "12" "1" "30" 348.846
"31" "1" "1" "1" "1" "2" "31" 333.462
"32" "1" "1" "1" "3" "3" "32" 387.308
"33" "1" "1" "1" "9" "1" "33" 318.077
"34" "1" "1" "1" "2" "3" "34" 379.615
"35" "1" "1" "1" "6" "1" "35" 364.231
"36" "1" "1" "1" "51" "1" "36" 310.385
"37" "1" "1" "1" "56" "1" "37" 318.077
"38" "1" "1" "1" "0" "2" "38" 325.769
"39" "1" "1" "1" "4" "3" "39" 479.615
"40" "1" "1" "1" "52" "1" "40" 295.000
"41" "1" "1" "1" "10" "1" "41" 279.615
"42" "1" "1" "1" "6" "2" "42" 256.538
"43" "1" "1" "1" "20" "1" "43" 533.462
"44" "1" "1" "1" "21" "1" "44" 279.615
"45" "1" "1" "1" "9" "2" "45" NA
"46" "1" "1" "1" "1" "3" "46" 356.538
"47" "1" "1" "1" "60" "1" "47" 318.077
"48" "1" "1" "1" "55" "1" "48" 325.769
"49" "1" "1" "1" "59" "1" "49" NA
"50" "1" "1" "1" "57" "1" "50" 356.538
"51" "1" "1" "1" "13" "1" "51" 341.154
"52" "1" "1" "1" "58" "2" "52" 302.692
"53" "1" "1" "1" "7" "1" "53" 325.769
"54" "1" "1" "1" "7" "2" "54" 502.692
"55" "1" "1" "1" "11" "1" "55" 341.154
"56" "1" "1" "1" "60" "2" "56" 379.615
"57" "1" "1" "1" "53" "1" "57" NA
"58" "1" "1" "1" "56" "2" "58" 264.231
"59" "1" "1" "1" "6" "3" "59" 318.077
"60" "1" "1" "1" "13" "2" "60" 433.462
"61" "1" "1" "1" "17" "1" "61" 318.077
"62" "1" "1" "1" "11" "2" "62" 356.538
"63" "1" "1" "1" "7" "3" "63" 364.231
"64" "1" "1" "1" "0" "3" "64" 448.846
"65" "1" "1" "1" "59" "2" "65" 310.385
"66" "1" "1" "1" "50" "2" "66" 287.308
"67" "1" "1" "1" "5" "4" "67" 287.308
"68" "1" "1" "1" "11" "3" "68" 356.538
"69" "1" "1" "1" "58" "3" "69" 395.000
"70" "1" "1" "1" "4" "4" "70" 333.462
"71" "1" "1" "1" "13" "3" "71" 364.231
"72" "1" "1" "1" "7" "4" "72" 387.308
"73" "1" "1" "1" "8" "2" "73" 325.769
"74" "1" "1" "1" "7" "5" "74" 310.385
"75" "1" "1" "1" "1" "4" "75" 371.923
"76" "1" "1" "1" "4" "5" "76" 302.692
"77" "1" "1" "1" "1" "5" "77" 364.231
"78" "1" "1" "1" "3" "4" "78" 387.308
"79" "1" "1" "1" "7" "6" "79" 402.692
"80" "1" "1" "1" "62" "3" "80" 356.538
"81" "1" "1" "1" "15" "3" "81" 341.154
"82" "1" "1" "1" "13" "4" "82" 325.769
"83" "1" "1" "1" "15" "4" "83" 379.615
"84" "1" "1" "1" "3" "5" "84" 348.846
"85" "1" "1" "1" "23" "2" "85" 295.000
"86" "1" "1" "1" "63" "2" "86" 348.846
"87" "1" "1" "1" "60" "3" "87" 318.077
"88" "1" "1" "1" "11" "4" "88" 295.000
"89" "1" "1" "1" "48" "2" "89" 318.077
"90" "1" "1" "1" "18" "2" "90" 287.308
"91" "1" "1" "1" "9" "3" "91" 371.923
"92" "1" "1" "1" "6" "4" "92" 341.154
"93" "1" "1" "1" "2" "4" "93" 333.462
"94" "1" "1" "1" "14" "2" "94" 356.538
"95" "1" "1" "1" "54" "2" "95" 318.077
"96" "1" "1" "1" "22" "2" "96" 318.077
"97" "1" "1" "1" "5" "5" "97" 348.846
"98" "1" "1" "1" "2" "5" "98" 341.154
"99" "1" "1" "1" "3" "6" "99" 348.846
"100" "1" "1" "1" "16" "2" "100" 325.769
"101" "1" "1" "1" "52" "2" "101" 371.923
"102" "1" "1" "1" "61" "2" "102" 433.462
"103" "1" "1" "1" "57" "2" "103" 341.154
"104" "1" "1" "1" "21" "2" "104" 310.385
"105" "1" "1" "1" "6" "5" "105" 395.000
"106" "1" "1" "1" "0" "4" "106" 418.077
"107" "1" "1" "1" "10" "2" "107" 425.769
"108" "1" "1" "1" "12" "2" "108" 395.000
"109" "1" "1" "1" "6" "6" "109" 348.846
"110" "1" "1" "1" "0" "5" "110" 379.615
"111" "1" "1" "1" "17" "2" "111" 371.923
"112" "1" "1" "1" "49" "2" "112" 325.769
"113" "1" "1" "1" "4" "6" "113" 356.538
"114" "1" "1" "1" "5" "6" "114" 379.615
"115" "1" "1" "1" "9" "4" "115" 295.000
"116" "1" "1" "1" "51" "2" "116" 364.231
"117" "1" "1" "1" "56" "3" "117" 302.692
"118" "1" "1" "1" "56" "4" "118" 325.769
"119" "1" "1" "1" "20" "2" "119" 371.923
"120" "1" "1" "1" "60" "4" "120" 333.462
"121" "1" "1" "1" "1" "6" "121" 410.385
"122" "1" "1" "1" "0" "6" "122" 387.308
"123" "1" "1" "1" "62" "4" "123" 379.615
"124" "1" "1" "1" "2" "6" "124" 333.462
"125" "1" "1" "1" "58" "4" "125" 387.308
"126" "1" "1" "1" "53" "2" "126" 310.385
"127" "1" "1" "1" "19" "2" "127" 325.769
"128" "1" "1" "1" "55" "2" "128" 325.769
"129" "1" "1" "0" "48" "1" "1" 387.308
"130" "1" "1" "0" "8" "1" "2" 487.308
"131" "1" "1" "0" "21" "1" "3" 364.231
"132" "1" "1" "0" "12" "1" "4" 333.462
"133" "1" "1" "0" "51" "1" "5" 356.538
"134" "1" "1" "0" "9" "1" "6" 287.308
"135" "1" "1" "0" "4" "1" "7" 325.769
"136" "1" "1" "0" "11" "1" "8" 348.846
"137" "1" "1" "0" "63" "1" "9" 210.385
"138" "1" "1" "0" "9" "2" "10" 310.385
"139" "1" "1" "0" "1" "1" "11" 302.692
"140" "1" "1" "0" "3" "1" "12" 325.769
"141" "1" "1" "0" "54" "1" "13" NA
"142" "1" "1" "0" "61" "1" "14" 356.538
"143" "1" "1" "0" "5" "1" "15" 348.846
"144" "1" "1" "0" "1" "2" "16" 333.462
"145" "1" "1" "0" "52" "1" "17" 341.154
"146" "1" "1" "0" "18" "1" "18" 295.000
"147" "1" "1" "0" "10" "1" "19" 318.077
"148" "1" "1" "0" "14" "1" "20" 310.385
"149" "1" "1" "0" "60" "1" "21" 371.923
"150" "1" "1" "0" "3" "2" "22" 295.000
"151" "1" "1" "0" "7" "1" "23" 379.615
"152" "1" "1" "0" "11" "2" "24" 325.769
"153" "1" "1" "0" "15" "1" "25" 318.077
"154" "1" "1" "0" "2" "1" "26" 318.077
"155" "1" "1" "0" "1" "3" "27" 341.154
"156" "1" "1" "0" "23" "1" "28" 287.308
"157" "1" "1" "0" "56" "1" "29" 364.231
"158" "1" "1" "0" "7" "2" "30" 402.692
"159" "1" "1" "0" "16" "1" "31" 325.769
"160" "1" "1" "0" "4" "2" "32" 348.846
"161" "1" "1" "0" "20" "1" "33" 356.538
"162" "1" "1" "0" "49" "1" "34" 310.385
"163" "1" "1" "0" "19" "1" "35" 325.769
"164" "1" "1" "0" "13" "1" "36" 310.385
"165" "1" "1" "0" "17" "1" "37" 295.000
"166" "1" "1" "0" "50" "1" "38" 348.846
"167" "1" "1" "0" "15" "2" "39" 379.615
"168" "1" "1" "0" "60" "2" "40" 371.923
"169" "1" "1" "0" "59" "1" "41" 387.308
"170" "1" "1" "0" "5" "2" "42" 295.000
"171" "1" "1" "0" "6" "1" "43" 371.923
"172" "1" "1" "0" "5" "3" "44" 433.462
"173" "1" "1" "0" "4" "3" "45" 402.692
"174" "1" "1" "0" "62" "1" "46" 441.154
"175" "1" "1" "0" "0" "1" "47" 325.769
"176" "1" "1" "0" "6" "2" "48" 264.231
"177" "1" "1" "0" "57" "1" "49" 302.692
"178" "1" "1" "0" "55" "1" "50" 333.462
"179" "1" "1" "0" "62" "2" "51" 364.231
"180" "1" "1" "0" "13" "2" "52" 318.077
"181" "1" "1" "0" "3" "3" "53" 325.769
"182" "1" "1" "0" "2" "2" "54" 418.077
"183" "1" "1" "0" "0" "2" "55" 341.154
"184" "1" "1" "0" "56" "2" "56" 302.692
"185" "1" "1" "0" "22" "1" "57" 333.462
"186" "1" "1" "0" "58" "1" "58" 318.077
"187" "1" "1" "0" "7" "3" "59" 333.462
"188" "1" "1" "0" "2" "3" "60" 348.846
"189" "1" "1" "0" "58" "2" "61" 379.615
"190" "1" "1" "0" "6" "3" "62" 333.462
"191" "1" "1" "0" "53" "1" "63" 318.077
"192" "1" "1" "0" "0" "3" "64" 371.923
"193" "1" "1" "0" "8" "2" "65" 318.077
"194" "1" "1" "0" "2" "4" "66" 356.538
"195" "1" "1" "0" "0" "4" "67" 364.231
"196" "1" "1" "0" "48" "2" "68" 310.385
"197" "1" "1" "0" "7" "4" "69" 318.077
"198" "1" "1" "0" "1" "4" "70" 302.692
"199" "1" "1" "0" "56" "3" "71" 318.077
"200" "1" "1" "0" "16" "2" "72" 341.154
"201" "1" "1" "0" "6" "4" "73" 310.385
"202" "1" "1" "0" "6" "5" "74" 410.385
"203" "1" "1" "0" "49" "2" "75" 318.077
"204" "1" "1" "0" "6" "6" "76" 364.231
"205" "1" "1" "0" "4" "4" "77" 364.231
"206" "1" "1" "0" "60" "3" "78" 348.846
"207" "1" "1" "0" "1" "5" "79" 295.000
"208" "1" "1" "0" "4" "5" "80" 310.385
"209" "1" "1" "0" "54" "2" "81" 318.077
"210" "1" "1" "0" "15" "3" "82" 341.154
"211" "1" "1" "0" "9" "3" "83" 302.692
"212" "1" "1" "0" "11" "3" "84" 310.385
"213" "1" "1" "0" "61" "2" "85" 333.462
"214" "1" "1" "0" "53" "2" "86" 318.077
"215" "1" "1" "0" "63" "2" "87" 264.231
"216" "1" "1" "0" "58" "3" "88" 302.692
"217" "1" "1" "0" "5" "4" "89" 364.231
"218" "1" "1" "0" "62" "3" "90" 341.154
"219" "1" "1" "0" "3" "4" "91" 348.846
"220" "1" "1" "0" "7" "5" "92" 402.692
"221" "1" "1" "0" "23" "2" "93" 364.231
"222" "1" "1" "0" "12" "2" "94" 348.846
"223" "1" "1" "0" "14" "2" "95" 341.154
"224" "1" "1" "0" "11" "4" "96" 556.538
"225" "1" "1" "0" "0" "5" "97" 356.538
"226" "1" "1" "0" "22" "2" "98" 348.846
"227" "1" "1" "0" "57" "2" "99" 371.923
"228" "1" "1" "0" "52" "2" "100" 333.462
"229" "1" "1" "0" "9" "4" "101" 341.154
"230" "1" "1" "0" "13" "3" "102" 325.769
"231" "1" "1" "0" "56" "4" "103" 318.077
"232" "1" "1" "0" "5" "5" "104" 318.077
"233" "1" "1" "0" "2" "5" "105" 379.615
"234" "1" "1" "0" "3" "5" "106" 295.000
"235" "1" "1" "0" "5" "6" "107" 395.000
"236" "1" "1" "0" "20" "2" "108" 356.538
"237" "1" "1" "0" "4" "6" "109" 371.923
"238" "1" "1" "0" "1" "6" "110" 479.615
"239" "1" "1" "0" "18" "2" "111" NA
"240" "1" "1" "0" "51" "2" "112" 356.538
"241" "1" "1" "0" "50" "2" "113" 318.077
"242" "1" "1" "0" "58" "4" "114" 387.308
"243" "1" "1" "0" "21" "2" "115" 379.615
"244" "1" "1" "0" "59" "2" "116" 341.154
"245" "1" "1" "0" "3" "6" "117" 348.846
"246" "1" "1" "0" "62" "4" "118" 364.231
"247" "1" "1" "0" "19" "2" "119" 318.077
"248" "1" "1" "0" "17" "2" "120" 264.231
"249" "1" "1" "0" "0" "6" "121" 302.692
"250" "1" "1" "0" "13" "4" "122" 279.615
"251" "1" "1" "0" "15" "4" "123" 325.769
"252" "1" "1" "0" "60" "4" "124" 325.769
"253" "1" "1" "0" "7" "6" "125" 287.308
"254" "1" "1" "0" "10" "2" "126" 341.154
"255" "1" "1" "0" "55" "2" "127" 356.538
"256" "1" "1" "0" "2" "6" "128" 348.846
"257" "2" "1" "1" "60" "1" "1" 425.769
