"Score" "Group" "Condition" "Subject"
1 116 "NTF" "NT" "1"
2 116 "NTF" "T" "1"
3 103 "NTF" "NT" "2"
4 112 "NTF" "T" "2"
5 120 "NTF" "NT" "3"
6 121 "NTF" "T" "3"
7 88 "NTF" "NT" "4"
8 109 "NTF" "T" "4"
9 116 "NTF" "NT" "5"
10 103 "NTF" "T" "5"
11 90 "NTF" "NT" "6"
12 98 "NTF" "T" "6"
13 112 "NTF" "NT" "7"
14 114 "NTF" "T" "7"
15 108 "NTF" "NT" "8"
16 99 "NTF" "T" "8"
17 104 "NTF" "NT" "9"
18 118 "NTF" "T" "9"
19 114 "NTF" "NT" "10"
20 112 "NTF" "T" "10"
21 89 "NTF" "NT" "11"
22 108 "NTF" "T" "11"
23 99 "NTF" "NT" "12"
24 108 "NTF" "T" "12"
25 121 "TF" "T" "13"
26 119 "TF" "NT" "13"
27 103 "TF" "T" "14"
28 106 "TF" "NT" "14"
29 120 "TF" "T" "15"
30 126 "TF" "NT" "15"
31 112 "TF" "T" "16"
32 114 "TF" "NT" "16"
33 109 "TF" "T" "17"
34 97 "TF" "NT" "17"
35 115 "TF" "T" "18"
36 115 "TF" "NT" "18"
37 118 "TF" "T" "19"
38 121 "TF" "NT" "19"
39 117 "TF" "T" "20"
40 118 "TF" "NT" "20"
41 114 "TF" "T" "21"
42 122 "TF" "NT" "21"
43 118 "TF" "T" "22"
44 113 "TF" "NT" "22"
45 115 "TF" "T" "23"
46 118 "TF" "NT" "23"
47 96 "TF" "T" "24"
48 83 "TF" "NT" "24"
